feature,feature_importances
B2,0.05671780080596646
B3,0.07416329483612033
B4,0.09787752144146969
B8,0.0233804312378715
CumCost,0.2028392341863968
LT2,0.038943358199208765
LT3,0.06919578203609765
LT4,0.11917455019709047
LT8,0.049105225832669464
RT23,0.04502521616623731
RT24,0.07637004858161166
RT28,0.05797660699185159
RT34,0.0315145490010086
RT38,0.03807293870056804
RT48,0.019643441785831738
