fit_time,score_time,test_neg_root_mean_squared_error,test_r2
1.584937334060669,0.031526803970336914,10.201583987796282,0.5381826326947059
0.26528024673461914,0.0,12.195021859907602,0.4395283772021934
0.28118443489074707,0.0,18.953192633158412,0.5441431700107247
0.25797152519226074,0.0,19.025590117233854,0.5420486788767591
0.3071417808532715,0.0,19.11302492118875,0.5425857712902862
0.27858734130859375,0.002992391586303711,19.10890657292537,0.5438364043522763
0.27008700370788574,0.0,16.878751742186957,0.5639687555387176
0.2655661106109619,0.0,10.83818015163854,0.509753124748032
0.2546060085296631,0.015619039535522461,10.92148440599409,0.5091427029986055
0.29459643363952637,0.002993345260620117,10.868398511249948,0.5063976310481477
