estimator,score
0,469.6770474084517
1,390.01083176033325
2,324.3036002704419
3,272.4803621046077
4,229.34213446096945
5,193.5247059109155
6,164.8472036797648
7,140.93729882211173
8,120.55765845316206
9,104.85776548086339
10,90.48989907056772
11,78.61323191033503
12,68.19526879373235
13,59.98043996164465
14,53.03809347903284
15,46.913980318665836
16,42.34454698956924
17,38.04755791208422
18,34.48884696741516
19,31.526053748413755
20,28.814987819685072
21,26.43167672113865
22,24.392966587792767
23,22.548212923831315
24,21.082569866939465
25,19.85034891143448
26,18.67832361930104
27,17.452880394944728
28,16.2153389758026
29,15.411923345879151
30,14.58795157591237
31,13.949103390692503
32,13.315416874162784
33,12.674526230886606
34,12.076405504858375
35,11.597052323265418
36,11.036779001313471
37,10.592560236675606
38,10.227787176480197
39,9.711885704404647
40,9.384700100332752
41,9.033488361445436
42,8.646632708648175
43,8.28556562211942
44,7.908009727116633
45,7.71601659470531
46,7.370779317665551
