mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
374.78784718513486,31.214115434525016,1.307009506225586,0.09890401044623186,10,-24.632899217654238,-13.745772501617271,-13.76202782337491,-9.075303294239811,-5.461938418850943,-13.335588251147433,6.451724211367468,10
69.3036434173584,2.819642503874507,0.7898136615753174,0.2451463358276717,20,-11.309233749313892,-13.842027925080162,-13.920872485287894,-8.814055584313754,-5.067001696615654,-10.590638288122273,3.342010805327719,1
90.2165280342102,8.583300147830837,1.5029487133026123,0.6279255491562845,30,-14.147875020597684,-14.124326344904818,-14.175042646929764,-8.991171745074588,-5.14856384288997,-11.317395920079365,3.674844847682636,8
96.1675530910492,10.045794900458132,1.6055723190307618,0.689334834519859,40,-14.471447561942496,-14.088459104472529,-14.17818090267968,-9.029074344716921,-5.103885126365414,-11.374209408035407,3.7319945552455067,9
97.44079155921936,12.494731186471045,1.6485671520233154,0.7269442128085817,50,-13.858560714412333,-14.122632941020822,-14.21507473522843,-9.008797574791155,-5.132819970384799,-11.267577187167507,3.641143013891234,7
97.81921997070313,10.55412954560414,1.6506946563720704,0.7168476956175392,60,-10.74035616326702,-14.101378351456951,-14.188763793793175,-8.992129814322643,-5.129333979961614,-10.63039242056028,3.396097481548915,2
96.17433037757874,9.487432619945771,1.6016923904418945,0.6802969148541771,70,-10.74035616326702,-14.101541002895333,-14.188763793793175,-8.992129814322643,-5.129333979961614,-10.630424950847956,3.396130729632985,3
96.33912239074706,9.871217550436533,1.6170169830322265,0.6904803460441463,80,-10.74035616326702,-14.101541002895333,-14.188763793793175,-8.992129814322643,-5.129333979961614,-10.630424950847956,3.396130729632985,3
96.3195011138916,9.524729730271376,1.6155773162841798,0.6522701032703818,90,-10.74035616326702,-14.101541002895333,-14.188763793793175,-8.992129814322643,-5.129333979961614,-10.630424950847956,3.396130729632985,3
94.726721906662,10.601826229771639,1.6010404109954834,0.6637578970264595,100,-10.74035616326702,-14.101541002895333,-14.188763793793175,-8.992129814322643,-5.129333979961614,-10.630424950847956,3.396130729632985,3
