GridType,SeedSpacing,k,nTrain,Superpixels,Time,TrainingPrSuperpixels,TP,FP,TN,FN,TotalPixels,SuperpixelsProportion,TrainingPrPixels,FPR,FNR,Sensitivity,Specificity,FDR,FOR,Precision,NPV,Accuracy
square,40,4,374,748,7.938239574432373,0.5,121411,0,1083984,23365,1228760,0.0006087437742114001,0.00030437188710570005,0.0,0.16138724650494557,0.8386127534950545,1.0,0.0,0.02109994229461534,1.0,0.9789000577053847,0.9809848953416452
square,40,5,374,748,10.265842914581299,0.5,123097,2,1083982,21679,1228760,0.0006087437742114001,0.00030437188710570005,1.8450456833311193e-06,0.149741669890037,0.850258330109963,0.9999981549543167,1.6247085679006328e-05,0.019607275647779924,0.999983752914321,0.98039272435222,0.982355382662196
hex,10,3,9138,18275,27.45371723175049,0.5,123231,183,1083801,21545,1228760,0.014872717210846707,0.0074367655197109285,0.00016882168002479742,0.1488161021163729,0.8511838978836271,0.9998311783199753,0.0014828139433127523,0.019491634293696273,0.9985171860566873,0.9805083657063037,0.982317132719164
hex,10,4,9138,18275,9.281302690505981,0.5,123536,202,1083782,21240,1228760,0.014872717210846707,0.0074367655197109285,0.00018634961401644304,0.14670939934795824,0.8532906006520418,0.9998136503859836,0.0016324815335628504,0.01922133676976567,0.9983675184664371,0.9807786632302343,0.9825498876916566
hex,10,5,9138,18275,10.679585933685303,0.5,123617,194,1083790,21159,1228760,0.014872717210846707,0.0074367655197109285,0.00017896943128311858,0.14614991435044483,0.8538500856495552,0.9998210305687169,0.001566904394601449,0.01914930010344369,0.9984330956053985,0.9808506998965563,0.9826223184348449
hex,20,3,2444,4888,24.47426199913025,0.5,122259,130,1083854,22517,1228760,0.003977994075327973,0.0019889970376639867,0.00011992796941652276,0.15552992208653368,0.8444700779134663,0.9998800720305835,0.0010621869612465172,0.02035212419703698,0.9989378130387535,0.979647875802963,0.9815692242586022
hex,20,4,2444,4888,14.195023775100708,0.5,122551,156,1083828,22225,1228760,0.003977994075327973,0.0019889970376639867,0.0001439135632998273,0.15351301320660882,0.8464869867933912,0.9998560864367002,0.0012713211145248438,0.020093973796915698,0.9987286788854751,0.9799060262030843,0.9817857026595918
hex,20,5,2444,4888,10.006642818450928,0.5,122551,156,1083828,22225,1228760,0.003977994075327973,0.0019889970376639867,0.0001439135632998273,0.15351301320660882,0.8464869867933912,0.9998560864367002,0.0012713211145248438,0.020093973796915698,0.9987286788854751,0.9799060262030843,0.9817857026595918
hex,30,3,1054,2108,15.756243228912354,0.5,122144,140,1083844,22632,1228760,0.0017155506364139458,0.0008577753182069729,0.00012915319783317835,0.15632425263855887,0.8436757473614411,0.9998708468021669,0.0011448758627457395,0.02045412643383137,0.9988551241372543,0.9795458735661686,0.9814674956867085
hex,30,4,1054,2108,8.8308744430542,0.5,121925,73,1083911,22851,1228760,0.0017155506364139458,0.0008577753182069729,6.734416744158585e-05,0.1578369342985025,0.8421630657014975,0.9999326558325584,0.0005983704650895916,0.020646715373314226,0.9994016295349104,0.9793532846266858,0.981343793743286
hex,30,5,1054,2108,19.40111541748047,0.5,121925,73,1083911,22851,1228760,0.0017155506364139458,0.0008577753182069729,6.734416744158585e-05,0.1578369342985025,0.8421630657014975,0.9999326558325584,0.0005983704650895916,0.020646715373314226,0.9994016295349104,0.9793532846266858,0.981343793743286
hex,40,3,606,1212,21.083548069000244,0.5,121940,81,1083903,22836,1228760,0.0009863602330805038,0.0004931801165402519,7.472435017491033e-05,0.15773332596562967,0.8422666740343703,0.9999252756498251,0.0006638201621032445,0.020633591117688994,0.9993361798378968,0.979366408882311,0.981349490543312
hex,40,4,606,1212,7.728605270385742,0.5,121888,36,1083948,22888,1228760,0.0009863602330805038,0.0004931801165402519,3.321082229996015e-05,0.15809250151958887,0.8419074984804111,0.9999667891777,0.00029526590334962764,0.02067876361086918,0.9997047340966504,0.9793212363891308,0.981343793743286
hex,40,5,606,1212,15.110748291015625,0.5,121888,36,1083948,22888,1228760,0.0009863602330805038,0.0004931801165402519,3.321082229996015e-05,0.15809250151958887,0.8419074984804111,0.9999667891777,0.00029526590334962764,0.02067876361086918,0.9997047340966504,0.9793212363891308,0.981343793743286
square,10,3,9292,12390,34.79417943954468,0.75,123448,267,1083717,21328,1228760,0.010083336046095251,0.007562095120283863,0.00024631359872470443,0.14731723490081228,0.8526827650991877,0.9997536864012753,0.002158186153659621,0.019300571469940138,0.9978418138463404,0.9806994285300599,0.9824253719196588
square,10,4,9292,12390,16.545846939086914,0.75,123359,132,1083852,21417,1228760,0.010083336046095251,0.007562095120283863,0.00012177301509985388,0.1479319776758579,0.8520680223241421,0.9998782269849001,0.001068903806755148,0.01937718329203117,0.9989310961932448,0.9806228167079688,0.9824628080341157
square,10,5,9292,12390,12.303086280822754,0.75,123359,132,1083852,21417,1228760,0.010083336046095251,0.007562095120283863,0.00012177301509985388,0.1479319776758579,0.8520680223241421,0.9998782269849001,0.001068903806755148,0.01937718329203117,0.9989310961932448,0.9806228167079688,0.9824628080341157
square,20,3,2336,3115,18.750267267227173,0.75,123059,183,1083801,21717,1228760,0.002535076011588919,0.0019011035515479019,0.00016882168002479742,0.1500041443333149,0.8499958556666851,0.9998311783199753,0.0014848834001395628,0.019644184897939246,0.9985151165998605,0.9803558151020607,0.9821771542042385
square,20,4,2336,3115,8.865124702453613,0.75,123059,183,1083801,21717,1228760,0.002535076011588919,0.0019011035515479019,0.00016882168002479742,0.1500041443333149,0.8499958556666851,0.9998311783199753,0.0014848834001395628,0.019644184897939246,0.9985151165998605,0.9803558151020607,0.9821771542042385
square,20,5,2336,3115,30.111474990844727,0.75,121687,44,1083940,23089,1228760,0.002535076011588919,0.0019011035515479019,4.0591005033284626e-05,0.1594808531800851,0.8405191468199149,0.9999594089949667,0.0003614527113060765,0.020856725523902265,0.999638547288694,0.9791432744760977,0.9811737035710798
square,30,3,1062,1416,39.661253929138184,0.75,121090,49,1083935,23686,1228760,0.0011523812624108858,0.0008642859468081643,4.520361924161242e-05,0.1636044648284246,0.8363955351715754,0.9999547963807583,0.00040449401101214305,0.021384571076207476,0.9995955059889878,0.9786154289237925,0.9806837787688402
square,30,4,1062,1416,23.809608459472656,0.75,121210,89,1083895,23566,1228760,0.0011523812624108858,0.0008642859468081643,8.21045329082348e-05,0.1627755981654418,0.8372244018345583,0.9999178954670918,0.0007337241032489963,0.02127930464368497,0.999266275896751,0.978720695356315,0.980748885054852
square,30,5,1062,1416,21.25982642173767,0.75,121210,89,1083895,23566,1228760,0.0011523812624108858,0.0008642859468081643,8.21045329082348e-05,0.1627755981654418,0.8372244018345583,0.9999178954670918,0.0007337241032489963,0.02127930464368497,0.999266275896751,0.978720695356315,0.980748885054852
