GridType,SeedSpacing,k,nTrain,Superpixels,Time,TrainingPrSuperpixels,TP,FP,TN,FN,TotalPixels,SuperpixelsProportion,TrainingPrPixels,FPR,FNR,Sensitivity,Specificity,FDR,FOR,Precision,NPV,Accuracy
hex,30,5,3408,4544,34.62367653846741,0.75,176128,250,2400228,10330,2586936,0.0017565181357405053,0.001317388601805379,0.00010414592427008287,0.0554012163597164,0.9445987836402836,0.9998958540757299,0.0014174103346222319,0.0042853148524117654,0.9985825896653777,0.9957146851475882,0.9959102196575408
hex,40,3,1888,2518,47.792911529541016,0.75,177691,214,2400165,8808,2586878,0.0009733740825813974,0.0007298372787584107,8.915258798714703e-05,0.0472281352715028,0.9527718647284972,0.9999108474120129,0.0012028891824288244,0.00365632989659909,0.9987971108175712,0.9963436701034009,0.9965123983427128
hex,40,4,1888,2518,16.31721830368042,0.75,177480,142,2400237,9019,2586878,0.0009733740825813974,0.0007298372787584107,5.9157324739134945e-05,0.048359508630073086,0.9516404913699269,0.9999408426752608,0.0007994505185168504,0.003743479314776014,0.9992005494814832,0.996256520685224,0.9964586656193296
hex,40,5,1888,2518,14.746449947357178,0.75,177455,137,2400242,9044,2586878,0.0009733740825813974,0.0007298372787584107,5.707432034691188e-05,0.048493557606207,0.951506442393793,0.999942925679653,0.0007714311455470967,0.003753809219826953,0.9992285688544529,0.9962461907801731,0.9964509342922241
square,10,3,10000,26553,0.9560606479644775,0.8,177513,96,2400780,8986,2587375,0.010262524759650225,0.0038649210106768443,3.998540532705562e-05,0.04818256398157631,0.9518174360184237,0.999960014594673,0.0005405131496714694,0.003728992773572206,0.9994594868503285,0.9962710072264278,0.9964898787381032
square,10,4,10000,26553,1.5313191413879395,0.8,177419,92,2400784,9080,2587375,0.010262524759650225,0.0038649210106768443,3.831934677176164e-05,0.04868658813183985,0.9513134118681601,0.9999616806532282,0.0005182777405343894,0.0037678474801897534,0.9994817222594656,0.9962321525198102,0.9964550944490072
square,10,5,10000,26553,1.608116865158081,0.8,177439,85,2400791,9060,2587375,0.010262524759650225,0.0038649210106768443,3.540374429999717e-05,0.048579348950932716,0.9514206510490673,0.9999645962557,0.00047880849913251164,0.003759568537639879,0.9995211915008675,0.9962404314623601,0.996465529735736
square,20,3,5246,6557,38.62442994117737,0.8,178248,197,2400139,8207,2586791,0.0025348008401142575,0.0020279953038339783,8.20718432752748e-05,0.04401598240862407,0.955984017591376,0.9999179281567248,0.0011039816189862422,0.0034077329420274327,0.9988960183810137,0.9965922670579725,0.9967511870885588
square,20,4,5246,6557,11.83096170425415,0.8,178248,197,2400139,8207,2586791,0.0025348008401142575,0.0020279953038339783,8.20718432752748e-05,0.04401598240862407,0.955984017591376,0.9999179281567248,0.0011039816189862422,0.0034077329420274327,0.9988960183810137,0.9965922670579725,0.9967511870885588
square,20,5,5246,6557,14.268728256225586,0.8,177246,150,2400186,9209,2586791,0.0025348008401142575,0.0020279953038339783,6.249125122482852e-05,0.049389933227856585,0.9506100667721434,0.9999375087487752,0.0008455658526686058,0.0038221213209125113,0.9991544341473314,0.9961778786790875,0.9963820038031677
square,30,3,2332,2915,27.985085487365723,0.8,177931,239,2400140,8568,2586878,0.0011268409256254064,0.0009014727405003251,9.956760994826234e-05,0.04594126510061716,0.9540587348993829,0.9999004323900518,0.0013414155020486053,0.0035570936784367385,0.9986585844979514,0.9964429063215633,0.9965955101090967
square,30,4,2332,2915,25.029907941818237,0.8,177661,265,2400114,8838,2586878,0.0011268409256254064,0.0009014727405003251,0.00011039923278782226,0.0473889940428635,0.9526110059571365,0.9998896007672122,0.00148938322673471,0.00366881531886065,0.9985106167732652,0.9963311846811393,0.9964810864679354
square,30,5,2332,2915,19.43714165687561,0.8,177645,265,2400114,8854,2586878,0.0011268409256254064,0.0009014727405003251,0.00011039923278782226,0.04747478538758921,0.9525252146124108,0.9998896007672122,0.0014895171716036199,0.003675432799439428,0.9985104828283964,0.9963245672005606,0.9964749014062511
square,40,3,1344,1680,39.845115423202515,0.8,178878,377,2399959,7577,2586791,0.000649453318803104,0.0005195626550424831,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255,0.0021031491450726617,0.003147201121810847,0.9978968508549273,0.9968527988781891,0.9969251477989525
square,40,4,1344,1680,9.937400341033936,0.8,178878,377,2399959,7577,2586791,0.000649453318803104,0.0005195626550424831,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255,0.0021031491450726617,0.003147201121810847,0.9978968508549273,0.9968527988781891,0.9969251477989525
square,40,5,1344,1680,18.505264282226562,0.8,178878,377,2399959,7577,2586791,0.000649453318803104,0.0005195626550424831,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255,0.0021031491450726617,0.003147201121810847,0.9978968508549273,0.9968527988781891,0.9969251477989525
hex,10,3,10000,39405,0.9762458801269531,0.8,176997,126,2401089,9510,2587722,0.01522767901652496,0.0038644027449625576,5.247343532336755e-05,0.050990043269153434,0.9490099567308465,0.9999475265646767,0.000711370064870175,0.0039450775512642295,0.9992886299351298,0.9960549224487357,0.9962762615149541
hex,10,4,10000,39405,1.302924633026123,0.8,176872,120,2401095,9635,2587722,0.01522767901652496,0.0038644027449625576,4.997470030796909e-05,0.05166025940045146,0.9483397405995485,0.999950025299692,0.000677996745615621,0.003996714688082033,0.9993220032543844,0.996003285311918,0.996230275122289
hex,10,5,10000,39405,1.8809013366699219,0.8,176838,109,2401106,9669,2587722,0.01522767901652496,0.0038644027449625576,4.5393686113071926e-05,0.05184255818816452,0.9481574418118355,0.9999546063138869,0.0006160036621135142,0.004010743433128351,0.9993839963378864,0.9959892565668717,0.9962213869959756
hex,20,3,8310,10388,37.302316427230835,0.8,178501,163,2400617,8004,2587285,0.0040150196054937895,0.0032118610821768767,6.789460092136722e-05,0.04291573952440953,0.9570842604755905,0.9999321053990786,0.0009123270496574576,0.0033230632797771006,0.9990876729503425,0.996676936720223,0.9968434092108136
hex,20,4,8310,10388,18.57393217086792,0.8,178361,122,2400658,8144,2587285,0.0040150196054937895,0.0032118610821768767,5.0816817867526385e-05,0.04366638964102839,0.9563336103589716,0.9999491831821324,0.0006835384882593861,0.003380933758773033,0.9993164615117406,0.996619066241227,0.9968051451618202
hex,20,5,8310,10388,14.142641305923462,0.8,177349,68,2400712,9156,2587285,0.0040150196054937895,0.0032118610821768767,2.832412799173602e-05,0.04909251762687327,0.9509074823731267,0.9999716758720083,0.0003832778144146277,0.0037993782232055863,0.9996167221855854,0.9962006217767944,0.9964348728493382
hex,30,3,3635,4544,29.60891580581665,0.8,176478,301,2400177,9980,2586936,0.0017565181357405053,0.0014051371970547396,0.00012539169282117977,0.053524118031942854,0.9464758819680571,0.9998746083071788,0.0017026909304838245,0.0041408090842214845,0.9982973090695162,0.9958591909157786,0.9960258004063495
hex,30,4,3635,4544,21.990867376327515,0.8,177552,336,2400142,8906,2586936,0.0017565181357405053,0.0014051371970547396,0.0001399721222189914,0.04776410773471774,0.9522358922652823,0.999860027877781,0.0018888289260658392,0.0036968960352803267,0.9981111710739342,0.9963031039647197,0.9964274338445173
hex,30,5,3635,4544,17.164313554763794,0.8,176482,254,2400224,9976,2586936,0.0017565181357405053,0.0014051371970547396,0.0001058122590584042,0.05350266547962544,0.9464973345203745,0.9998941877409416,0.0014371718269056673,0.004139075595386275,0.9985628281730944,0.9958609244046137,0.9960455148484539
hex,40,3,2014,2518,38.68724966049194,0.8,177691,214,2400165,8808,2586878,0.0009733740825813974,0.0007785446395230081,8.915258798714703e-05,0.0472281352715028,0.9527718647284972,0.9999108474120129,0.0012028891824288244,0.00365632989659909,0.9987971108175712,0.9963436701034009,0.9965123983427128
hex,40,4,2014,2518,23.58294439315796,0.8,177480,142,2400237,9019,2586878,0.0009733740825813974,0.0007785446395230081,5.9157324739134945e-05,0.048359508630073086,0.9516404913699269,0.9999408426752608,0.0007994505185168504,0.003743479314776014,0.9992005494814832,0.996256520685224,0.9964586656193296
hex,40,5,2014,2518,13.855687141418457,0.8,177455,137,2400242,9044,2586878,0.0009733740825813974,0.0007785446395230081,5.707432034691188e-05,0.048493557606207,0.951506442393793,0.999942925679653,0.0007714311455470967,0.003753809219826953,0.9992285688544529,0.9962461907801731,0.9964509342922241
square,10,3,10000,26553,1.1877436637878418,0.9,177513,96,2400780,8986,2587375,0.010262524759650225,0.0038649210106768443,3.998540532705562e-05,0.04818256398157631,0.9518174360184237,0.999960014594673,0.0005405131496714694,0.003728992773572206,0.9994594868503285,0.9962710072264278,0.9964898787381032
square,10,4,10000,26553,1.3215274810791016,0.9,177419,92,2400784,9080,2587375,0.010262524759650225,0.0038649210106768443,3.831934677176164e-05,0.04868658813183985,0.9513134118681601,0.9999616806532282,0.0005182777405343894,0.0037678474801897534,0.9994817222594656,0.9962321525198102,0.9964550944490072
square,10,5,10000,26553,1.6534860134124756,0.9,177439,85,2400791,9060,2587375,0.010262524759650225,0.0038649210106768443,3.540374429999717e-05,0.048579348950932716,0.9514206510490673,0.9999645962557,0.00047880849913251164,0.003759568537639879,0.9995211915008675,0.9962404314623601,0.996465529735736
square,20,3,5901,6557,45.415982723236084,0.9,178248,197,2400139,8207,2586791,0.0025348008401142575,0.0022812047822959023,8.20718432752748e-05,0.04401598240862407,0.955984017591376,0.9999179281567248,0.0011039816189862422,0.0034077329420274327,0.9988960183810137,0.9965922670579725,0.9967511870885588
square,20,4,5901,6557,10.920233964920044,0.9,178248,197,2400139,8207,2586791,0.0025348008401142575,0.0022812047822959023,8.20718432752748e-05,0.04401598240862407,0.955984017591376,0.9999179281567248,0.0011039816189862422,0.0034077329420274327,0.9988960183810137,0.9965922670579725,0.9967511870885588
square,20,5,5901,6557,16.085681676864624,0.9,177246,150,2400186,9209,2586791,0.0025348008401142575,0.0022812047822959023,6.249125122482852e-05,0.049389933227856585,0.9506100667721434,0.9999375087487752,0.0008455658526686058,0.0038221213209125113,0.9991544341473314,0.9961778786790875,0.9963820038031677
square,30,3,2624,2915,32.78073263168335,0.9,177931,239,2400140,8568,2586878,0.0011268409256254064,0.0010143501162405031,9.956760994826234e-05,0.04594126510061716,0.9540587348993829,0.9999004323900518,0.0013414155020486053,0.0035570936784367385,0.9986585844979514,0.9964429063215633,0.9965955101090967
square,30,4,2624,2915,20.19801688194275,0.9,177264,233,2400146,9235,2586878,0.0011268409256254064,0.0010143501162405031,9.706800467759467e-05,0.04951769178387015,0.9504823082161299,0.9999029319953224,0.001312698242787202,0.0038329346832236162,0.9986873017572128,0.9961670653167763,0.9963399897482602
square,30,5,2624,2915,22.633240461349487,0.9,177248,233,2400146,9251,2586878,0.0011268409256254064,0.0010143501162405031,9.706800467759467e-05,0.04960348312859587,0.9503965168714041,0.9999029319953224,0.001312816583183552,0.0038395498956792923,0.9986871834168164,0.9961604501043207,0.9963338046865758
square,40,3,1512,1680,42.82973885536194,0.9,178878,377,2399959,7577,2586791,0.000649453318803104,0.0005845079869227935,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255,0.0021031491450726617,0.003147201121810847,0.9978968508549273,0.9968527988781891,0.9969251477989525
square,40,4,1512,1680,11.478877305984497,0.9,178878,377,2399959,7577,2586791,0.000649453318803104,0.0005845079869227935,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255,0.0021031491450726617,0.003147201121810847,0.9978968508549273,0.9968527988781891,0.9969251477989525
square,40,5,1512,1680,30.725613594055176,0.9,178878,377,2399959,7577,2586791,0.000649453318803104,0.0005845079869227935,0.00015706134474506903,0.04063715105521439,0.9593628489447856,0.999842938655255,0.0021031491450726617,0.003147201121810847,0.9978968508549273,0.9968527988781891,0.9969251477989525
hex,10,3,10000,39405,1.5076005458831787,0.9,176997,126,2401089,9510,2587722,0.01522767901652496,0.0038644027449625576,5.247343532336755e-05,0.050990043269153434,0.9490099567308465,0.9999475265646767,0.000711370064870175,0.0039450775512642295,0.9992886299351298,0.9960549224487357,0.9962762615149541
hex,10,4,10000,39405,1.756441354751587,0.9,176872,120,2401095,9635,2587722,0.01522767901652496,0.0038644027449625576,4.997470030796909e-05,0.05166025940045146,0.9483397405995485,0.999950025299692,0.000677996745615621,0.003996714688082033,0.9993220032543844,0.996003285311918,0.996230275122289
hex,10,5,10000,39405,2.5852770805358887,0.9,176838,109,2401106,9669,2587722,0.01522767901652496,0.0038644027449625576,4.5393686113071926e-05,0.05184255818816452,0.9481574418118355,0.9999546063138869,0.0006160036621135142,0.004010743433128351,0.9993839963378864,0.9959892565668717,0.9962213869959756
hex,20,3,9349,10388,49.939720153808594,0.9,178629,163,2400617,7876,2587285,0.0040150196054937895,0.0036134403438353334,6.789460092136722e-05,0.04222943084635801,0.957770569153642,0.9999321053990786,0.0009116739003982281,0.003270094619332504,0.9990883260996017,0.9967299053806675,0.9968928819206233
hex,20,4,9349,10388,14.146479368209839,0.9,178361,122,2400658,8144,2587285,0.0040150196054937895,0.0036134403438353334,5.0816817867526385e-05,0.04366638964102839,0.9563336103589716,0.9999491831821324,0.0006835384882593861,0.003380933758773033,0.9993164615117406,0.996619066241227,0.9968051451618202
hex,20,5,9349,10388,31.918400526046753,0.9,177424,66,2400714,9081,2587285,0.0040150196054937895,0.0036134403438353334,2.7491065403743783e-05,0.04869038363582746,0.9513096163641726,0.9999725089345962,0.00037185193532029975,0.0037683703385557694,0.9996281480646797,0.9962316296614442,0.9964646337763331
hex,30,3,4090,4544,31.2737455368042,0.9,176478,301,2400177,9980,2586936,0.0017565181357405053,0.0015810209452417842,0.00012539169282117977,0.053524118031942854,0.9464758819680571,0.9998746083071788,0.0017026909304838245,0.0041408090842214845,0.9982973090695162,0.9958591909157786,0.9960258004063495
hex,30,4,4090,4544,10.903284311294556,0.9,177552,336,2400142,8906,2586936,0.0017565181357405053,0.0015810209452417842,0.0001399721222189914,0.04776410773471774,0.9522358922652823,0.999860027877781,0.0018888289260658392,0.0036968960352803267,0.9981111710739342,0.9963031039647197,0.9964274338445173
hex,30,5,4090,4544,13.547954797744751,0.9,176128,250,2400228,10330,2586936,0.0017565181357405053,0.0015810209452417842,0.00010414592427008287,0.0554012163597164,0.9445987836402836,0.9998958540757299,0.0014174103346222319,0.0042853148524117654,0.9985825896653777,0.9957146851475882,0.9959102196575408
hex,40,3,2266,2518,36.5573148727417,0.9,177691,214,2400165,8808,2586878,0.0009733740825813974,0.0008759593610522027,8.915258798714703e-05,0.0472281352715028,0.9527718647284972,0.9999108474120129,0.0012028891824288244,0.00365632989659909,0.9987971108175712,0.9963436701034009,0.9965123983427128
hex,40,4,2266,2518,11.419222116470337,0.9,177480,142,2400237,9019,2586878,0.0009733740825813974,0.0008759593610522027,5.9157324739134945e-05,0.048359508630073086,0.9516404913699269,0.9999408426752608,0.0007994505185168504,0.003743479314776014,0.9992005494814832,0.996256520685224,0.9964586656193296
