"var1.pred" "var1.var" "x" "y" "optional"
0.0522755218412001 NA -8.21743059953227 41.8971674245476 TRUE
0.0320719737580669 NA -8.217429499993 41.8972574844247 TRUE
0.271067688331489 NA -8.21731005745125 41.8971666029941 TRUE
0.0705781721096025 NA -8.21730895774265 41.8972566628686 TRUE
0.0844267437575355 NA -8.21730785802904 41.8973467227416 TRUE
0.958110910895988 NA -8.21730675831041 41.8974367826133 TRUE
2.1264634110918 NA -8.21730565858677 41.8975268424834 TRUE
0.942271225573827 NA -8.2173045588581 41.8976169023521 TRUE
0.0714439324157354 NA -8.21730345912442 41.8977069622194 TRUE
0.043961990445656 NA -8.21718951537525 41.8971657813141 TRUE
0.0902237221781181 NA -8.21718841549733 41.897255841186 TRUE
0.744755543896765 NA -8.21718731561439 41.8973459010565 TRUE
2.16965207996386 NA -8.21718621572643 41.8974359609255 TRUE
3.31920349323185 NA -8.21718511583346 41.8975260207931 TRUE
1.73992686437841 NA -8.21718401593547 41.8976160806592 TRUE
0.184061249717181 NA -8.21718291603246 41.8977061405239 TRUE
0.20388901274718 NA -8.21718181612444 41.8977962003872 TRUE
2.35319384798754 NA -8.2171807162114 41.897886260249 TRUE
5.74389958213546 NA -8.21717961629333 41.8979763201094 TRUE
5.44141963324386 NA -8.21717851637026 41.8980663799683 TRUE
1.98876992648579 NA -8.21717741644216 41.8981564398258 TRUE
0.152888639640207 NA -8.21717631650904 41.8982464996819 TRUE
1.34243376768015 NA -8.21707510119269 41.9065320002748 TRUE
1.23697361597263 NA -8.2170740007928 41.9066220599968 TRUE
0.12087108411452 NA -8.21706787325702 41.8972550193769 TRUE
1.43392546987091 NA -8.21706677320475 41.8973450792447 TRUE
3.91155683258902 NA -8.21706567314747 41.8974351391112 TRUE
5.60878896579285 NA -8.21706457308517 41.8975251989762 TRUE
4.80408460884571 NA -8.21706347301786 41.8976152588398 TRUE
3.0357078413706 NA -8.21706237294552 41.8977053187019 TRUE
3.37035357799621 NA -8.21706127286817 41.8977953785626 TRUE
6.31755482303947 NA -8.21706017278579 41.8978854384218 TRUE
8.64531638278313 NA -8.2170590726984 41.8979754982796 TRUE
7.76191687307468 NA -8.21705797260599 41.898065558136 TRUE
3.83399738046378 NA -8.21705687250857 41.8981556179909 TRUE
0.453617731950017 NA -8.21705577240612 41.8982456778444 TRUE
0.433561738667806 NA -8.21705467229865 41.8983357376964 TRUE
0.251766637279737 NA -8.21705357218617 41.898425797547 TRUE
1.21482984912356 NA -8.21697325041765 41.9050001627483 TRUE
8.90633970847797 NA -8.21697214993372 41.9050902224923 TRUE
9.81729919164647 NA -8.21697104944476 41.9051802822348 TRUE
2.38126982930616 NA -8.21696994895078 41.9052703419759 TRUE
0.948767663713662 NA -8.21696884845178 41.9053604017155 TRUE
1.00739158059148 NA -8.21696444640557 41.9057206406597 TRUE
7.99321229217922 NA -8.21696334588147 41.9058107003921 TRUE
12.8876821248497 NA -8.21696224535234 41.9059007601231 TRUE
14.2481741127794 NA -8.21696114481819 41.9059908198527 TRUE
14.5717419771706 NA -8.21696004427903 41.9060808795808 TRUE
14.5600661566032 NA -8.21695894373484 41.9061709393075 TRUE
14.2556799687496 NA -8.21695784318563 41.9062609990327 TRUE
12.8349511652841 NA -8.2169567426314 41.9063510587565 TRUE
5.60235506399426 NA -8.21695564207215 41.9064411184788 TRUE
4.03846986056325 NA -8.21695344093859 41.9066212379192 TRUE
5.38621395255149 NA -8.21695234036427 41.9067112976372 TRUE
11.0877868600904 NA -8.21695123978494 41.9068013573538 TRUE
9.8795580946268 NA -8.21695013920058 41.9068914170689 TRUE
1.78458265670687 NA -8.21694903861121 41.9069814767826 TRUE
1.03936521289531 NA -8.21694733102173 41.8972541974412 TRUE
2.84197507290081 NA -8.21694623080014 41.8973442573065 TRUE
6.04303471956325 NA -8.21694513057353 41.8974343171704 TRUE
8.57989193279512 NA -8.21694403034191 41.8975243770328 TRUE
9.36710157834917 NA -8.21694293010526 41.8976144368938 TRUE
9.31352419664838 NA -8.2169418298636 41.8977044967533 TRUE
9.91148503030522 NA -8.21694072961692 41.8977945566114 TRUE
11.1349390366789 NA -8.21693962936521 41.8978846164681 TRUE
11.723466388298 NA -8.21693852910849 41.8979746763233 TRUE
11.0261400744668 NA -8.21693742884675 41.8980647361771 TRUE
8.82196084921708 NA -8.21693632857999 41.8981547960294 TRUE
5.90807378852673 NA -8.21693522830821 41.8982448558803 TRUE
4.36933824930004 NA -8.21693412803142 41.8983349157298 TRUE
0.868121212242803 NA -8.2169330277496 41.8984249755778 TRUE
0.862901887942237 NA -8.21693192746276 41.8985150354243 TRUE
5.19929921396289 NA -8.2169308271709 41.8986050952695 TRUE
4.04614248168553 NA -8.21692972687403 41.8986951551132 TRUE
0.335608129856338 NA -8.21692862657213 41.8987852149554 TRUE
0.178691234386251 NA -8.21691932079992 41.9094130885078 TRUE
1.64477633743441 NA -8.21691822006994 41.9095031481812 TRUE
3.49814580109125 NA -8.21691711933494 41.9095932078531 TRUE
4.05091833485856 NA -8.21691601859492 41.9096832675235 TRUE
3.76152453174558 NA -8.21691491784987 41.9097733271926 TRUE
3.1797324825826 NA -8.2169138170998 41.9098633868602 TRUE
2.51802664417148 NA -8.21691271634471 41.9099534465263 TRUE
1.78935304838074 NA -8.21691161558459 41.910043506191 TRUE
0.939283733875315 NA -8.21691051481946 41.9101335658543 TRUE
0.227376901922558 NA -8.2169094140493 41.9102236255161 TRUE
0.0127727765396989 NA -8.21690831327412 41.9103136851765 TRUE
